1860-11-01_article_1	1860-11-01	article	Correspondence of the Richmond Dispatch.	;;; Correspondence of the Richmond Dispatch.;;; Greenville--census returns--educational institutions --Theological Seminary--Virginia Students--Court --political Speaking--"minute men"--curious Relic --Sunday School--Governor's Proclamation, &amp;c.,&amp;c.;;; Greenville, S. C.,Oct. 29, 1860.;;; This beautiful town, as many of your readers are aware, is, in point of population, the third place of importance in South Carolina.;;; It is situated in the North western part of the State, in sight of the Blue Ridge mountains, and has long been a place of summer resort for the inhabitants of the sea — board.;;; The States of North Carolina, Tennessee, and Georgia, are but a few miles distant.;;; It is accessible by railroad, via Columbia, to all portions of country East of the Blue Ridge, and will shortly be brought into an intimate section with the West, by the Rabun Gap Railroad, now in process of construction.-- There is already a daily stage line to Greenville.;;; Tennessee, on the East Tennessee and Virginia Railroad, a distance of one hundred miles.;;; The census returns, which are being completed, show that the population of the town proper, is between 2,900 and 3,000, leaving out a few families whose census has not yet been taken.;;; The value of real estate and personal property is $5,400,000; church property $64, Within the corporation limits there are  dwellings.;;; During the past year there have been but 43 deaths.;;; Greenville is highly favored for its educational privileges.;;; Some 100 students are in attendance on the lectures at Furman University, one of the first literary institutions of the South.;;; The flourishing Female Institute has about 80 pupils.;;; Here, too, is located the Southern Baptist Theological Seminary.;;; The second session of the Seminary opened on the first of this month.;;; Though so recently established, there still matriculates, 9 of whom are from Virginia, as follows: J. R. Bagby, of Powhatan; J. F. Deans, of Norfolk county; J. S. Brown, of Ambers; P. H. Cowherd, of Louisa; J. B. Taylor, Jr., of Richmond city; J. F. Hardwicke of Pennsylvania; C. H. Ryland, of King &amp; Queen; H. E. Hatcher, of Bedford, and W. D. Harkes, of Buckingham.;;; Two of the Professors are widely known and loved in Virginia, viz; Rev. Messrs. B. Manly, Jr., D. D.,  of Richmond, and J. A. Broadus, D. D., formerly of Charlottesville.;;; The first named gentleman is Professor of "Biblical Introduction and Interpretation of the Old Testament." Dr. Broadus is Professor of "Interpretation of the New Testament, and Preparation and Delivery of Sermons." The chair of "Systematic Theology, Polemic Theology and A Apologetics," is ably filled by Rev. J. P. Boyce, D. D. Rev. Dr. Wm. Williams, formerly of Georgia, is Professor of "Church History, Church Government and Pastoral ." Besides the Library of the Seminary, the private libraries of the Professors amount to over 10,000 volumes.;;; The regular term of the Court of Common Pleas for this District is now in session, his Honor D. L. Wardlaw presiding.;;; The only case of much interest on the issue docket, is that involving the validity of the will of Lawrence Brock, deceased.;;; Last Tuesday, during the morning recess of Court, Hons.;;; Messrs. Orr and Ashmore addressed the people of the District on the great political questions of the day.;;; C. L. Orr said that he had no hope of the defeat of Lincoln for the Presidency; that, in the event of his election, the South could not consistently with honor and safety remain in the Union.;;; He would counsel no hasty action on the part of the State.;;; South Carolina should not withdraw alone.;;; His opinion was that Commissioners should be appointed to go to and consult with other States, and ascertain the course they intended to pursue under the circumstances, so that there might be convert of action.;;; Col. Ashmore traced Lincoln's political character for the last twenty years, and showed conclusively that Lincoln recognized and practiced the "higher law" doctrine of the Abolition party.;;; The prime object of the Republican party was nothing less than the entire extinction of the peculiar institution of the Southern States.;;; The South should put herself into position for resistance, and when the time for resistance comes, she should resist even unto death.;;; Steps are being taken here, as, indeed, in many portions of the State, for the organization of a company of "minute men.";;; A rare curiosity was shown to me on yesterday, by Mr. Lanneau, an artist, of Greenville.;;; It was an original portrait of General Washington, taken in the General's camp by a German artist, on the back of his knapsack.;;; The painting, though of course a rude and somewhat imperfect one, is very much like Sterling's celebrated painting of Washington.;;; Your religious readers will be interested to know that one of the largest Sabbath schools in the State flourishes here, in connection with the Baptist Church.;;; It numbers between two and three hundred scholars, and is under the superintendence of C. J. Elford, a prominent lawyer of this section.;;; 
1860-11-01_article_2	1860-11-01	article	Correspondence of the Richmond Dispatch.Storm in Southwestern Virginia.	;;; Correspondence of the Richmond Dispatch.Storm in Southwestern Virginia.  Lynchburg, Oct. 31.;;; We have been visited with very heavy rains during the past two or three days. In the mountains west of this place the rain has fallen in torrents, resulting in serious damage to the Virginia and Tennessee Railroad.;;; On Pea Creek Mountain, 12 miles west of  Central Depot, two bridges have been washed away.-- Other washes of minor importance have also taken place.;;; This morning a train arrived here from the west, being the first since day before yesterday, and this made no connection west of Newbern.;;; [It will be seen by a telegraphic dispatch from our correspondent, in our telegraph column, that the damage is much greater than estimated in the above letter.];;; 
1860-11-01_article_3	1860-11-01	article	NO HEADER	;;; Another royal marriage.;;; --The London Court Journal, has announced the coming betrothal of her Majesty's second daughter, the Princess Alice, to Prince Louis, of Hesse Darmstadt, a nephew of the reigning Grand Duke.;;; This union is only to be noted in a political sense, in as much as it will cement still more strongly the close alliance already existing between the royal families of Great Britain and Prussia, the bridegroom elect being, through his mother, cousin German to the King and to the Prince Regent of the latter Kingdom.;;; Hesse Darmstadt is by no means the smallest of the many German principalities.;;; Its area is 3,760 square miles; the population, eight years since, numbered 854,000; the army upwards of 10,000 men; the chief cities are Darmstadt and Mayence; the chief rivers the Rhine and the Neckar.;;; The personal qualifications of this young couple belong to the realm of gossip, which we do not desire to aid in extending beyond the enormous limits that it has recently attained.;;; But we may add that if in years -- 23 and 18 -- the pair will be fairly mated, so also is the match a suitable one in another respect.;;; We should scarcely care to see the fortunes of a daughter of England linked with those of Absolutism.;;; Hesse Darmstadt is a constitutional monarchy.--N. Y. Albion.;;; 
1860-11-01_article_4	1860-11-01	article	NO HEADER	;;; The Battle of Lake Erie.;;; -- Bancroft is writing for the New York Ledger an account of "Oliver Hazard Perry and the Battle of Lake Erie." The number for this week recounts the events of the contest previous to Perry's leaving the Lawrence, when "the shrieks of the wounded and the crash of timbers shattered by cannon balls, were still heard; but its own fire grew fainter and fainter; one gun after another was dismounted.--Death had the mastery: the carnage was unparalleled in naval warfare; more than four-fifths of the effective officers and men on board were killed or disabled by wounds; the deck, in spite of the layer of sand, was slippery with blood, which ran down the sides of the ship the wounded and the dead lay thickly strewn everywhere around.;;; To fire the last gun, Perry himself assisted.;;; At last every gun in the ship's battery on the enemy's side was dismounted, every brace and bowline was shot away; the vessel became unmanageable, in spite of the zeal of the commander and the great exertions of the Sailing Master.;;; And still Perry did not despair, but had an eye which could look through the cloud. ";;; 
1860-11-01_article_5	1860-11-01	article	NO HEADER	;;; Utah.;;; --Advices from Utah are to October 5. Hon. W. H. Hooper, delegate to Congress, accompanied by his wife, had left Salt Lake City for Washington, and with him had departed the last of the Mormon missionaries for the States and Europe.;;; Among the missionaries were three of the "Twelve Apostles" -- Orson Pratt, Erastus Snow, and George Q. Cannon -- the first two destined for the States, and the last for England.;;; Five of the Twelve are now absent among the "Gentiles," working for the cause of Mormonism.;;; An Agricultural Fair had been held at Provo, which had been attended with considerable success, and another was in progress in Salt Lake City.;;; More Indian hostilities are reported in the northern part of the Territory.;;; A party of emigrants, numbering about twenty, had been attacked, and had lost all their wagons and stock before assistance could reach them.;;; The party had arrived at Salt Lake City, under escort of United States troops, in a destitute condition.;;; 
1860-11-01_article_6	1860-11-01	article	NO HEADER	;;; Killed.;;; --James Brooks, baggage master on the Nashville and Chattanooga Railroad, was killed near Murfreesboro', Tenn., on the 26th ult. He was standing on the top of a car as the train passed beneath a bridge, when his head struck the lower beam of the bridge, and he was instantly killed.;;; 
1860-11-01_article_7	1860-11-01	article	Fast life in New York.	;;; Fast life in New York.;;; During the past week the police have had in charge several important swindling cases in New York, which involve the loss of several thousands of dollars, but as yet have only succeeded in arresting one of the alleged operators, who, it seems, has succeeded in obtaining about five thousand dollars from a respectable house in Pine street. The alleged party accused of the swindle is a young man named Wm. Hurry, Jr., note broker.;;; It seems that he is charged by the firm of Quick &amp; L'Hommedien, dealers in mercantile notes and foreign exchange, with having, on Friday last, called upon them — having previously done business with them — and inquired if they had an $8,000 note that they wanted to sell, remarking that he could dispose of a note of the said amount, as he had a customer in waiting.;;; Mr. L'Hommedien replied that he had, and gave Hurry an $8,000 note.;;; Hurry, it is alleged, took it, and, saying he would return in about twenty minutes, left the office.;;; He, however, failed to return; and it is alleged that, after disposing of the note, he procured a draft on the Bank of the Republic for the full amount, proceeded direct to the bank, drew the amount in cash, and left.;;; His not returning created some little suspicion on the part of Messrs.Quick &amp; L'Hommedien, and on the following day, not being able to ascertain Hurry's whereabouts, they proceeded before Justice Welsh, where a complaint was made against him.;;; Hurry, the same afternoon, from his own story, finding himself the holder of this large sum of money, concluded to visit some of our leading gambling saloons and try his luck at the game of faro.;;; His first step was to dive into the establishment corner of Broadway and Fulton street, where a day game is always kept going, and after betting several times he lost about $3,000. He then took a look into a sporting house in Ann street, where, after passing an hour, he lost $200. In company with a friend, he then proceeded to a first class restaurant, and, after enjoying a costly supper, started out again for the gambling table.;;; It being early in the evening, a short visit was made to the sweat — board kept at the corner of Broadway and Prince street, where he was so fortunate as to win $1,000. Thinking that he had done pretty well, be concluded to try another house, and accordingly made a stop at an establishment corner of Prince and Mercer streets, where, at the game of faro, he lost $1,400.;;; Hurry, on Saturday evening, again sallied forth on a visit to his old haunts, visiting a gambling house, corner of Twelfth street and Broadway, where they soon relieved him of five hundred dollars, and at another, corner of Broadway and Eighth street, he lost the like amount.;;; Sunday night he again made a tour around town, visiting a place on Broadway, where he was fortunate in winning about one thousand five hundred dollars. He also visited another of the gambling halls, where he remained until near 4 o'clock Monday morning, gaining about five hundred dollars.;;; On Monday Mr. L'Hommedien called upon Mr. Chris. V. Hogan.;;; of the detective force, and made him acquainted with the facts, and requested him to work up the case, and if possible to arrest Hurry.;;; Mr. Hogan accordingly set to work, and, ascertaining that Mr. Hurry had been a visitor at the above places, concluded that he had an accomplice with him.--He succeeded in finding a beautiful team that the young gentleman had obtained, with a view of sporting about in, and finally traced him to the above hotel, where he arrested him yesterday afternoon.;;; Hurry, when confronted by the detective seemed greatly surprised, believing that he had evaded all pursuit of the officers.;;; He was taken to the police head-quarters.;;; About four thousand dollars of the money has been recovered by the officer.--Hurry is about twenty-eight years age, and is very respectably connected.-- New York Paper;;; 
1860-11-01_article_8	1860-11-01	article	NO HEADER	;;; Proposed American Military visit to England.;;; --Company E, of the Ninth Regiment of New York, has raised $10,000 towards $30,000, the sum necessary to carry them to England and back.;;; The company authorized a letter to be written to Lord Palmerston, asking if an American volunteer company bearing arms would be permitted to land in England, and to this letter the following reply has been received:;;;    10 Downing St.,London, Oct. 12, 1860. Sir;;; --I have the honor to acknowledge, by desire of Lord Palmerston, the receipt of your communication of the 31st August last.;;; Lord Palmerston directs me, in reply, to inform you that her Majesty's government, as well as the whole British nation, would feel very great pleasure at a friendly visit from any portion of the people of the United States, but that it would not be consistent with the laws of the United Kingdom that a body of armed men, organized as a military body, and not being subjects of the British Sovereign, should land in the United Kingdom and move about therein.;;; Lord Palmerston, however, would remark that if any of the member of the corps which you mention were to come over to England in the summer of next year, bringing with them their rifles, for the purpose of entering into competition at the annual rifle shooting meeting, there can be no doubt that they would be most heartily welcomed.;;; I have the honor to be, sir, your most obedient servant.   Evelyn  Ashley. J. B. Coppinger, Adjutant Ninth Reg't.;;; 
1860-11-01_article_9	1860-11-01	article	NO HEADER	;;; Gen. Houston and Mexico.;;; --A letter from Texas, written by a Virginia officer of the K. G. C.'s to the Norfolk Argus, says that organization is laboring under unexpected difficulties effecting their plans, which, however, they expect to overcome.;;; He adds:;;; Gen. Houston, with whom Gen. Bickley and myself had a conference this morning, not only assured us, but he promised the people of San Antonio, last week, in a public speech, that he should again take the held and cross the Rio Grande with the largest possible force of Texans and other volunteers against Vera Cruz.-- Affairs on the orders in this State, in Mexico and throughout the South, are certainly assuming a critical position, and you need not be surprised to learn at any time within the next six weeks, or two months, that soldiers will swarming on both banks of the Rio Grande, struggling for the country which furnishes the only outlet to the institutions of the South.;;; 
1860-11-01_article_10	1860-11-01	article	NO HEADER	;;; Smoke from Gas-Lights.;;; --It is pretty generally supposed that the smoking of ceilings is occasioned by impurity  the gas; whereas, in this case, there is no ection between the deposition of soot and the quality of the gas. The evil ar there from the flame being raised so high that some of its forked points give out smoke, or more frequently from a careless mode of lighting.;;; If, when lighting the lamps, the stop cock be opened suddenly, and a burst of gas be permitted to escape before the match be applied to light it, then a strong puff follows the lighting of each burner, and a cloud of smoke rises to the ceiling.;;; This, in many houses and shops, is repeated daily, and the inevitable consequence is a blackened ceiling.;;; In some houses, the glasses are taken off and wiped every day, and before they are put on again the match is applied to the tip of the burner, and the stop-cock cautiously opened, so that no more gas escapes than is sufficient to make a ring of blue flame; the glasses being then put on quite straight, the stop-cocks are gently turned, until the flames stand out at three inches high.;;; When this mode of management is pursued, few chimney-glasses will be broken, and the ceilings will not be blackened for years.;;; 
